OBJECTID,Name,Baujahr,Gesamtleistung (MW),Anzahl,Typ (WKA),Ort,Landkreis,Breitengrad,Längengrad,Projektierer / Betreiber,Bemerkungen,,,,,,,
17,Windpark Waldmössingen,2002,3.6,4,NEG Micon NM 52/900 (4×),Waldmössingen,RW,48.2578,8.5044,"Theolia, Windreich, WP Hummelbühl",,,,,,,,
18,Windpark Waldhausen,2007,30.85,12,REpower MM92 (7×),Waldhausen,AA,48.8356,10.2067,Uhl Windkraft, ENBW,6247012.0525,,,,,,
19,Windpark Waldhausen,2017,,,Vestas V126-3.3MW (5×),,,48.8356,10.2067,,,,,,,,,
20,Windpark Verenafohren,2017,9.9,3,Nordex N131/3300 (3×),Wiechs am Randen,KN,47.7686,8.6256,hegauwind,errichtet direkt an der Schweizer Grenze,,,,,,,
21,Windpark Tomerdingen-Bermaringen (Windpark Keltische Schanze),2007,21.9,11,Vestas V82-1.5MW (5×),Tomerdingen,UL,48.4703,9.8633,"Planet Energy, Solarinvest AG; Efi Wind, THEOLIA Naturenergien GmbH, Windreich",errichtet an der A 8,,,,,,,
22,Windpark Tomerdingen-Bermaringen (Windpark Keltische Schanze),2013,,,Nordex N117/2400 (6×),Bermaringen,,48.4703,9.8633,,,,,,,,,
23,Windpark Tomerdingen-Bermaringen (Windpark Keltische Schanze),2017,,,,Temmenhausen,,48.4703,9.8633,,,,,,,,,
24,Windpark Tennenbronn (incl. Windpark Steigers Eck),2002,21.9,10,Enercon E-66/18.70 (1×),Tennenbronn,OG,48.1861,8.3036,"Windkraft Tennenbronn; vento ludens, dge Wind Brogen, Solarcomplex",,,,,,,,
25,Windpark Tennenbronn (incl. Windpark Steigers Eck),2003,,,Enercon E-70 E4 (1×),Buchenberg,RW,48.1861,8.3036,,,,,,,,,
26,Windpark Tennenbronn (incl. Windpark Steigers Eck),2005,,,Enercon E-115 (2×),Langenschiltach,VS,48.1861,8.3036,,,,,,,,,
27,Windpark Tennenbronn (incl. Windpark Steigers Eck),2011,,,REpower MD77 (2×),Hornberg,,48.1861,8.3036,,,,,,,,,
28,Windpark Tennenbronn (incl. Windpark Steigers Eck),2016,,,Vestas V90-2.0MW (2×),,,48.1861,8.3036,,,,,,,,,
29,Windpark Tennenbronn (incl. Windpark Steigers Eck),2017,,,Nordex N117/2400 (2×),,,48.1861,8.3036,,,,,,,,,
30,Windpark Tegelberg,2017,8.25,3,GE Wind Energy 2.75-120 (3×),Donzdorf,GP,48.6442,9.8181,,,,,,,,,
31,Windpark Tegelberg,2018,,,,,,48.6442,9.8181,,,,,,,,,
32,Windpark Südliche Ortenau,2016,19.25,7,GE Wind Energy 2.75-120 (7×),Ettenheim,OG,48.2544,7.9228,"Green City Energy, Ettenheimer Bürgerenergie",,,,,,,,
33,Windpark Südliche Ortenau,,,,,Schuttertal,,48.2544,7.9228,,,,,,,,,
34,Windpark Sturmberg,1996,3,3,Nordex N54/1000 (3×),Judentenberg,SIG,47.8856,9.3528,"Glotter, Aufwind",,,,,,,,
35,Windpark Striethof,2004,10,5,Vestas V80-2.0MW (2×),Ruppertshofen,AA,48.8836,9.8347,WP Striethof,,,,,,,,
36,Windpark Striethof,2009,,,Enercon E-82 (3×),Eschach,,48.8836,9.8347,,,,,,,,,
37,Windpark Straubenhardt,2017,33,11,Siemens SWT-3.0-113 (11×),Straubenhardt,PF,48815,8.5253,"Wirsol, Wircon GmbH, seit 2019 Kraftwerke Mainz-Wiesbaden",,,,,,,,
38,Windpark Straubenhardt,2018,,,,,,48815,8.5253,,,,,,,,,
39,Windpark Stötten,1996,13.2,11,Vestas V44-600kW (1×),Stötten,GP,48.6578,9.8547,"Megawatt, wpd, Schuler","Windtestfeld Stötten seit 1956 (Begründer Ulrich W. Hütter), seit 1997 kommerzieller Windpark, Prototyp und einzige Anlage der Schuler SDD 100",,,,,,,
40,Windpark Stötten,2001,,,Vestas V52-850kW (4×),,,48.6578,9.8547,,derzeit Errichtung von zwei Testanlagen des Typs S&G Engineering SG750.54 im Rahmen des ZSW-Forschungswindparks WinSent,,,,,,,
41,Windpark Stötten,2002,,,DeWind D6 62/1000 (1×),,,48.6578,9.8547,,,,,,,,,
42,Windpark Stötten,2006,,,Vestas V90-2.0MW (2×),,,48.6578,9.8547,,,,,,,,,
43,Windpark Stötten,2011,,,"Schuler SDD 100 2,7MW (1×)",,,48.6578,9.8547,,,,,,,,,
44,Windpark Stötten,2023,,,S&G Engineering SG750.54 (2×),,,48.6578,9.8547,,,,,,,,,
45,Windpark Stödtlen,2006,13.35,5,REpower MM92 (3×),Gerau,AA,48.8172,10.2911,"Uhl-Windkraft, Breeze Three Energy",,,,,,,,
46,Windpark Stödtlen,2022,,,Vestas V126-3.6MW (2×),,,48.8172,10.2911,,,,,,,,,
47,Windpark Steinbacher Höhe,2010,6.15,3,REpower MM92 (3×),Steinbach,MOS,49.5547,9.2528,"Naturstrom AG, Windenergie S & H, WP Mudau",,,,,,,,
48,Windpark Stachenhausen,2003,9.7,5,REpower MD77 (1×),Stachenhausen,KÜN,49.3397,9.6894,Reg.En GmbH,,,,,,,,
49,Windpark Stachenhausen,2007,,,REpower MM92 (4×),,,49.3397,9.6894,,,,,,,,,
50,Windpark Stachenhausen,2008,,,,,,49.3397,9.6894,,,,,,,,,
51,Windpark St. Peter (incl. Windpark Plattenhöfe),2000,16,9,NEG Micon NM 60/1000 (3×),Sägendobel,FR,48.0517,8.0683,"fesa, Ökostrom Freiburg; THEOLIA Naturenergien GmbH, Windreich",,,,,,,,
52,Windpark St. Peter (incl. Windpark Plattenhöfe),2001,,,Enercon E-40/6.44 (1×),Simonswald,EM,48.0517,8.0683,,,,,,,,,
53,Windpark St. Peter (incl. Windpark Plattenhöfe),2006,,,Enercon E-70 (2×),,,48.0517,8.0683,,,,,,,,,
54,Windpark St. Peter (incl. Windpark Plattenhöfe),2010,,,Enercon E-70 E4 (1×),,,48.0517,8.0683,,,,,,,,,
55,Windpark St. Peter (incl. Windpark Plattenhöfe),2013,,,Enercon E-101 (2×),,,48.0517,8.0683,,,,,,,,,
56,Windpark Schonach,2001,7.6,5,Enercon E-40/6.44 (1×),Schonach,VS,48.1242,8.1919,"wks-energy, THEOLIA Naturenergien GmbH",eine Enercon E-12 bereits abgebaut,,,,,,,
57,Windpark Schonach,2002,,,Südwind S77 (1×),,,48.1242,8.1919,,,,,,,,,
58,Windpark Schonach,2003,,,Südwind S77 (1×),,,48.1242,8.1919,,,,,,,,,
59,Windpark Schonach,,,,Enercon E-70 (2×),,,48.1242,8.1919,,,,,,,,,
60,Windpark Schelklingen,1999,3.75,5,NEG Micon NM 48/750 (5×),Ingstetten,UL,48.3886,9.6219,"Albwind Ingstetten-Justingen, Theolia, Windreich",,,,,,,,
61,Windpark Schelklingen,2000,,,,,,48.3886,9.6219,,,,,,,,,
62,Windpark Rotzeleck,2019,8.9,3,Enercon E-92 (1×),Biederbach,EM,48.2053,7.9864,Oeko Geno,,,,,,,,
63,Windpark Rotzeleck,2020,,,Enercon E-103 EP2 (1×),,,48.2053,7.9864,,,,,,,,,
64,Windpark Rotzeleck,,,,Enercon E-138 EP3 E2 (1×),,,48.2053,7.9864,,,,,,,,,
65,Windpark Rote Steige,2017,21.6,6,Vestas V136-3.6MW (6×),Michelfeld,SHA,49.0861,9.6392,"Stadtwerke Schwäbisch Hall, Uhl Windkraft",an der Bundesstraße 14,,,,,,,
66,Windpark Rote Steige,2018,,,,Mainhardt,,49.0861,9.6392,,,,,,,,,
67,Windpark Rot am See (Windpark Hausen am Bach),2016,13.2,4,Vestas V126-3.3MW (4×),Hausen am Bach,SHA,49.3031,10.1256,"juwi, EnBW Windkraftprojekte, EnBW-ODR",,,,,,,,
68,Windpark Rot am See (Windpark Hausen am Bach),2019,,,,,,49.3031,10.1256,,,,,,,,,
69,Windpark Roßkopf,2004,7.2,4,Enercon E-66/18.70 (4×),Gundelfingen,FR,48.0072,7.9022,"fesa, Ökostrom Freiburg",,,,,,,,
70,Windpark Roßkopf,,,,,Freiburg im Breisgau,FR,48.0072,7.9022,,,,,,,,,
71,Windpark Rohrenkopf (Windpark Schopfheim),2016,15,5,Enercon E-115 (5×),Gersbach,LÖ,47.7181,7.9394,EWS,Ein zwischenzeitlicher Baustopp wurde wieder aufgehoben,,,,,,,
72,Windpark Rohrenkopf (Windpark Schopfheim),2017,,,,,,47.7181,7.9394,,,,,,,,,
73,Windpark Renquishausen,1996,1.5,3,Enercon E-40/5.40 (3×),Renquishausen,TUT,48.0867,8.8747,WP Renquishausen,eine weitere baugleiche Anlage wurde bereits abgebaut,,,,,,,
74,Windpark Rechenberg,2017,9,3,Enercon E-115 (3×),Rechenberg,SHA,49.0514,10.1197,W-I-N-D Energien,,,,,,,,
75,Windpark Ravensteiner Höhe,2004,6.55,4,REpower MD77 (2×),Merchingen,MOS,49.3897,9.5347,"Windenergie S & H, Reg.En GmbH, THEOLIA Naturenergien GmbH",,,,,,,,
76,Windpark Ravensteiner Höhe,2007,,,Fuhrländer FL MD77 (1×),,,49.3897,9.5347,,,,,,,,,
77,Windpark Ravensteiner Höhe,,,,REpower MM92 (1×),,,49.3897,9.5347,,,,,,,,,
78,Windpark Ravenstein,2015,10,4,GE Wind Energy 2.5-120 (4×),Merchingen,MOS,49.4169,9.4858,Green City Energy,errichtet an der A 81,,,,,,,
79,Windpark Rauhkasten-Steinfirst,2017,12.2,4,Enercon E-115 (4×),Gengenbach,OG,48.3681,7.9753,Enercon,,,,,,,,
80,Windpark Rauhkasten-Steinfirst,,,,,Friesenheim,,48.3681,7.9753,,,,,,,,,
81,Windpark Rauhkasten-Steinfirst,,,,,Hohberg,,48.3681,7.9753,,,,,,,,,
82,Windpark Pülfringen Süd,2001,14.7,10,AN Bonus 1300/62 (7×),Pülfringen,TBB,49.5547,9.5089,PNE Wind,,,,,,,,
83,Windpark Pülfringen Süd,2002,,,Enercon E-58 (1×),Erfeld,MOS,49.5547,9.5089,,,,,,,,,
84,Windpark Pülfringen Süd,2012,,,Enercon E-82 E2 (2×),,,49.5547,9.5089,,,,,,,,,
85,Windpark Pülfringen Nord,2001,10.8,10,Enercon E-40/6.44 (8×),Pülfringen,TBB,49.59,9.5197,BadenWind,,,,,,,,
86,Windpark Pülfringen Nord,2017,,,Enercon E-115 (2×),,,49.59,9.5197,,,,,,,,,
87,Windpark Prechtaler Schanze,2015,18.3,6,Enercon E-101 (3×),Gutach,OG,48.2211,8.1689,E-Werk Mittelbaden,,,,,,,,
88,Windpark Prechtaler Schanze,2016,,,Enercon E-115 (3×),Mühlenbach,,48.2211,8.1689,,,,,,,,,
89,Windpark Obersontheim-Bühlenzell,2017,32.4,9,Vestas V136-3.6MW (9×),Obersontheim,SHA,49.0042,9.8408,Uhl Windkraft,,,,,,,,
90,Windpark Obersontheim-Bühlenzell,2018,,,,Bühlerzell,,49.0042,9.8408,,,,,,,,,
91,Windpark Oberkochen,2015,9.6,4,Nordex N117/2400 (4×),Oberkochen,AA,48.77,10.1211,"juwi, Stadtwerke Tübingen",,,,,,,,
92,Windpark Nordschwarzwald,2007,28,14,Vestas V80-2.0MW (4×),Simmersfeld,CW,48.6181,8.4578,"Altus, Breeze Two, Glotter","war bei der Errichtung bis 2015 der größte Windpark in Baden-Württemberg, errichtet auf einem ehemaligen Munitionsdepot und entlang der B 294",,,,,,,
93,Windpark Nordschwarzwald,,,,Vestas V90-2.0MW (10×),Seewald,FDS,48.6181,8.4578,,,,,,,,,
94,Windpark Nonnenholz-Uhl,2017,34.7,11,GE Wind Energy 2.75-120 (4×),Röhlingen,AA,48.9381,10.2728,ABO Wind,,,,,,,,
95,Windpark Nonnenholz-Uhl,,,,Vestas V136-3.45MW (6×),Zöbingen,,48.9381,10.2728,,,,,,,,,
96,Windpark Nonnenholz-Uhl,,,,Nordex N117/3000 (1×),,,48.9381,10.2728,,,,,,,,,
97,Windpark Nattheim,2021,37.8,9,Enercon E-138 EP3 E2 (9×),Nattheim,HDH,48.7161,10.2208,,Durch Sturm Ignatz am 21. Oktober 2021 knickt an einer Anlage ein Rotorblatt ab.,,,,,,,
98,Windpark Löwenstein (Windpark Horkenberg),2014,18.1,5,Enercon E-92 (2×),Löwenstein,HN,49.0919,9.4342,"Kruck + Partner, DSG Energiefonds",,,,,,,,
99,Windpark Löwenstein (Windpark Horkenberg),2020-2021,,,Nordex N149/4500 (3×),,,49.0919,9.4342,,,,,,,,,
100,Windpark Lonsee-Ettlenschieß,2002,4.64,5,Vestas V47-660kW (4×),Ettlenschieß,UL,48.5667,9.9036,"Technische Werke Schussental, Willibald Heidrich",die Vestas-Anlagen sollen durch zwei Enercon E-101 repowert werden,,,,,,,
101,Windpark Lonsee-Ettlenschieß,2012,,,Vestas V90-2.0MW (1×),,,48.5667,9.9036,,,,,,,,,
102,Windpark Lindlein,2004,4.5,3,NEG Micon NM 82/1500 (3×),Lindlein,SHA,49.3064,10.0008,"Bürgerwindpark Hohenlohe, Behlau Energiewende",,,,,,,,
103,Windpark Leipferdingen,1997,1.8,3,Vestas V44-600kW (3×),Leipferdingen,TUT,47.8683,8.6858,Aufwind,ursprünglich waren vier Anlagen des Typs geplant und genehmigt worden.,,,,,,,
104,Windpark Lauterstein,2016,52.25,19,GE Wind Energy 2.75-120 (19×),Lauterstein,GP,48.7372,9.8872,wpd,größter Windpark in Baden-Württemberg sowie im süddeutschen Raum,,,,,,,
105,Windpark Lauterstein,,,,,Bartholomä,AA,48.7372,9.8872,,,,,,,,,
106,Windpark Lauterburg,2007,10.25,5,REpower MM92 (5×),Lauterburg,AA,48.7697,10.0017,WP Lauterburg,,,,,,,,
107,Windpark Lauda-Heckfeld,2003,8.7,3,Enercon E-66/18.70 (1×),Heckfeld,TBB,49.5719,9.6344,juwi,errichtet an der A 81,,,,,,,
108,Windpark Lauda-Heckfeld,2020,,,Vestas V126-3.45MW (2×),Dittwar,,49.5719,9.6344,,Erweiterung geplant (1× Vestas V162-5.6MW),,,,,,,
109,Windpark Langenbrand,1999,18,4,Nordex N149/4500 (4×),Langenbrand,CW,48.8189,8.5964,BayWa r.e.,1999 bis 2021 Standort einer Seewind S 52 750,,,,,,,
110,Windpark Langenbrand,2023,,,,,,48.8189,8.5964,,neue Anlagen aktuell in Bau,,,,,,,
111,Windpark Lahr-Seelbach (Windkraftanlagen Kempfenbühl-Schlossbühl),2005,8.7,3,Südwind S77 (1×),Lahr,OG,48.2922,7.8928,"fesa, Ökostrom Freiburg","Eine weitere Anlage des Typs Südwind S77 wurde im September 2013 durch einen Brand komplett zerstört, als Ersatz wurde 2016 eine Enercon E-115 an selber Stelle errichtet",,,,,,,
112,Windpark Lahr-Seelbach (Windkraftanlagen Kempfenbühl-Schlossbühl),2016,,,Enercon E-115 (1×),Seelbach,,48.2922,7.8928,,Eine weitere Anlage des Typs Südwind S77 wurde im Februar 2019 durch einen Brand komplett zerstört. An dieser Stelle wurde 2021 eine neue Windkraftanlage des Typs Enercon E-138 EP3 E2 errichtet,,,,,,,
113,Windpark Lahr-Seelbach (Windkraftanlagen Kempfenbühl-Schlossbühl),2021,,,Enercon E-138 EP3 E2 (1×),,,48.2922,7.8928,,,,,,,,,
114,Windpark Külsheim-Steinbach,2004,2.4,4,Enercon E-40/6.44 (4×),Steinbach,TBB,49.6753,9.4886,"BadenWind, WP Külsheim",,,,,,,,
115,Windpark Külsheim,2016,12,5,Nordex N117/2400 (5×),Külsheim,TBB,49.6536,9.5428,"Thüga, Stadtwerk Tauberfranken",,,,,,,,
116,Windpark Krensheim,2001,1.8,3,Enercon E-40/6.44 E1 (3×),Krensheim,TBB,49.6256,9.7689,BadenWind,,,,,,,,
117,Windpark Krautheim-Eckigbreit,2021,12.6,3,Enercon E-138 EP3 E2 (3×),Krautheim,KÜN,49.3969,9.6003,Bürgerenergie Krautheim,,,,,,,,
118,Windpark Kohlenstraße,2015,23.1,7,Vestas V126-3.3MW (7×),Michelbach a. d. Bilz,SHA,49.0506,9.7889,"Stadtwerke Schwäbisch Hall, Bürgerwindpark Hohenlohe",errichtet entlang der gleichnamigen Kohlenstraße in den Limpurger Bergen,,,,,,,
119,Windpark Kohlenstraße,,,,,Gaildorf,,49.0506,9.7889,,,,,,,,,
120,Windpark Kohlenstraße,,,,,Obersontheim,,49.0506,9.7889,,,,,,,,,
121,Windpark Klosterwald,2015,25,10,GE Wind Energy 2.5-120 (10×),Creglingen,TBB,49.4833,10075,"WEBW, MVV Energie, Wirthwein",,,,,,,,
122,Windpark Kirchberg,2000,32.4,11,Vestas V90-2.0MW (3×),Kirchberg a. d. Jagst,SHA,49.1844,9.9525,"Behlau Energiewende, Bürger-WP Kirchberg, Hohenlohe Wind, reencon GmbH, ingenia, Gerhard Borchers","errichtet an der A 6, bis 2014 stand noch eine Nordex N50/800 im Park, größter Bürgerwindpark in Süddeutschland",,,,,,,
123,Windpark Kirchberg,2009,,,Vestas V126-3.3MW (8×),,,49.1844,9.9525,,,,,,,,,
124,Windpark Kirchberg,2016,,,,,,49.1844,9.9525,,,,,,,,,
125,Windpark Kambacher Eck,2016,12.2,4,Enercon E-115 (4×),Biberach,OG,48.2911,7.9861,"badenova, Ökostrom Consulting",,,,,,,,
126,Windpark Kambacher Eck,,,,,Steinach,,48.2911,7.9861,,,,,,,,,
127,Windpark Ilshofen-Ruppertshofen,2006,23.75,8,Fuhrländer FL MD77 (1×),Ruppertshofen,SHA,49.1764,9.9014,"Behlau Energiewende, Reg.En GmbH, ZEAG, THEOLIA Naturenergien GmbH",,,,,,,,
128,Windpark Ilshofen-Ruppertshofen,2007,,,REpower MM92 (1×),Gerabronn,,49.1764,9.9014,,,,,,,,,
129,Windpark Ilshofen-Ruppertshofen,2014,,,Enercon E-101 (2×),,,49.1764,9.9014,,,,,,,,,
130,Windpark Ilshofen-Ruppertshofen,2015,,,Vestas V126-3.3MW (3×),,,49.1764,9.9014,,,,,,,,,
131,Windpark Ilshofen-Ruppertshofen,2017,,,Enercon E-138 EP3 E2 (1×),,,49.1764,9.9014,,,,,,,,,
132,Windpark Ilshofen-Ruppertshofen,2021,,,,,,49.1764,9.9014,,,,,,,,,
133,Windpark Hummelsweiler,2017,12,4,Enercon E-115 (4×),Rosenberg,AA,49.0386,10.0028,W-I-N-D Energien,,,,,,,,
134,Windpark Hornberg,2002,9.05,5,Fuhrländer FL 1000/54 (2×),Hornberg,OG,48.2367,8.2417,"windwin, Windreich, badenova",,,,,,,,
135,Windpark Hornberg,2009,,,Enercon E-82 (2×),Gutach,,48.2367,8.2417,,,,,,,,,
136,Windpark Hornberg,2020,,,Enercon E-115 (1×),,,48.2367,8.2417,,,,,,,,,
137,Windpark Holzkirch-Neenstetten,2008,6.15,3,REpower MM92 (3×),Holzkirch,UL,48.5264,10.0053,"Reg.En, THEOLIA Naturenergien GmbH",,,,,,,,
138,Windpark Holzkirch-Neenstetten,,,,,Neenstetten,,48.5264,10.0053,,,,,,,,,
139,Windpark Hohenstadt,2022-2023,12.6,3,Nordex N131/3600 (1×),Hohenstadt,GP,48.5272,9.6444,Megawatt Gesellschaft für Windenergie mbH,in Bau,,,,,,,
140,Windpark Hohenstadt,,,,Nordex N149/4500 (2×),,,48.5272,9.6444,,,,,,,,,
141,Windpark Hohenlochen,2020-2021,16.8,4,Enercon E-138 EP3 E2 (4×),Hausach,OG,48.5272,9.6444,Badenova, Wärmeplus,6195014.6079,,,,,,
142,Windpark Hohenlochen,,,,,Oberwolfach,,48.5272,9.6444,,,,,,,,,
143,Windpark Höhefeld,2001,14.85,14,Fuhrländer FL 1000/54 (3×),Höhefeld,TBB,49.7256,9.6006,"BadenWind, Energiequelle, Volta Windkraft, UMaAG",,,,,,,,
144,Windpark Höhefeld,2002,,,Vestas V52-850kW (3×),,,49.7256,9.6006,,,,,,,,,
145,Windpark Höhefeld,,,,Fuhrländer FL MD70 (5×),,,49.7256,9.6006,,,,,,,,,
146,Windpark Höhefeld,,,,Enercon E-40/6.44 (3×),,,49.7256,9.6006,,,,,,,,,
147,Windpark Hirschlanden,2004,9.6,4,REpower MM82 (2×),Hirschlanden,MOS,49.4561,9.5019,Rosenwind Naturstrom,,,,,,,,
148,Windpark Hirschlanden,2016,,,GE Wind Energy 2.75-120 (2×),,,49.4561,9.5019,,,,,,,,,
149,Windpark Himmelberg,1995,1.8,3,Micon M 1500-600 (3×),Melchingen,BL,48.3681,9.1506,SoWiTec,erster Windpark in Baden-Württemberg,,,,,,,
150,Windpark Hilpensberg,2017,9,3,Vensys 120/3000 (3×),Hilpensberg,SIG,47.8656,9.3006,,,,,,,,,
151,Windpark Herrenzimmern (Windpark Hühnernest),2019,13.95,4,Vestas V126-3.45MW (3×),Herrenzimmern,TBB,49.4344,9.8756,,,,,,,,,
152,Windpark Herrenzimmern (Windpark Hühnernest),2020,,,Vestas V126-3.6MW (1×),,,49.4344,9.8756,,,,,,,,,
153,Windpark Heide,1997,31.1,15,Enercon E-40/5.40 (1×),Neubronn,TBB,49.4739,9.9697,"Naturkraft Tauber, HWE Hohenloher Windenergie, Klaus Wagner",,,,,,,,
154,Windpark Heide,2000,,,Enercon E-58 (2×),,,49.4739,9.9697,,,,,,,,,
155,Windpark Heide,2002,,,Enercon E-66/18.70 (2×),,,49.4739,9.9697,,,,,,,,,
156,Windpark Heide,2003,,,Enercon E-70 (1×),,,49.4739,9.9697,,,,,,,,,
157,Windpark Heide,2004,,,Enercon E-82 E2 (2×),,,49.4739,9.9697,,,,,,,,,
158,Windpark Heide,2005,,,REpower MM92 (2×),,,49.4739,9.9697,,,,,,,,,
159,Windpark Heide,2010,,,Senvion 3.2M114 (3×),,,49.4739,9.9697,,,,,,,,,
160,Windpark Heide,2011,,,Enercon E-92 (2×),,,49.4739,9.9697,,,,,,,,,
161,Windpark Heide,2012,,,,,,49.4739,9.9697,,,,,,,,,
162,Windpark Heide,2015,,,,,,49.4739,9.9697,,,,,,,,,
163,Windpark Heide,2016,,,,,,49.4739,9.9697,,,,,,,,,
164,Windpark Heckfeld,2002,5.05,3,Enercon E-58 (2×),Heckfeld,TBB,49.5528,9.6511,BadenWind,,,,,,,,
165,Windpark Heckfeld,2017,,,Enercon E-101 (1×),,,49.5528,9.6511,,,,,,,,,
166,Windpark Hasel,2017,9.9,3,Vestas V126-3.3MW (3×),Hasel,LÖ,47.6789,7.9158,,,,,,,,,
167,Windpark Harthäuser Wald,2015,54.9,18,Enercon E-115 (18×),Widdern,HN,49.2911,9.4094,"ZEAG, Bürgerenergie Hardthausen",leistungsstärkster Windpark in Baden-Württemberg sowie im süddeutschen Raum,,,,,,,
168,Windpark Harthäuser Wald,2017,,,,Hardthausen a. K.,KÜN,49.2911,9.4094,,,,,,,,,
169,Windpark Harthäuser Wald,,,,,Jagsthausen,,49.2911,9.4094,,,,,,,,,
170,Windpark Harthäuser Wald,,,,,Möckmühl,,49.2911,9.4094,,,,,,,,,
171,Windpark Harthäuser Wald,,,,,Forchtenberg,,49.2911,9.4094,,,,,,,,,
172,Windpark Hainstadt-Buchen,2022,13.8,4,Vestas V126-3.45MW (4×),Hainstadt,MOS,49.5617,9.2981,ABO Wind,in Bau,,,,,,,
173,Windpark Hainstadt-Buchen,,,,,Buchen (Odenwald),,49.5617,9.2981,,,,,,,,,
174,Windpark Gütenbach,1999,3.2,3,Enercon E-40/6.44 (2×),Gütenbach,VS,48.0422,8.1219,,,,,,,,,
175,Windpark Gütenbach,,,,Enercon E-66/18.70 (1×),,,48.0422,8.1219,,,,,,,,,
176,Windpark Großer Wald,2013,16,5,REpower 3.2M114 (5×),Hettingen,MOS,49.5386,9.3867,Windenergie S & H,,,,,,,,
177,Windpark Großer Wald,,,,,Rinschheim,,49.5386,9.3867,,,,,,,,,
178,Windpark Goldboden,2017,9.9,3,Nordex N131/3300 (3×),Winterbach,WN,48.7719,9.4697,EnBW Windkraftprojekte,,,,,,,,
179,Windpark Gnannenweiler,2009,25.2,11,Enercon E-82 (8×),Gnannenweiler,HDH,48.6894,9.9928,"Albuch-Wind, Windreich",,,,,,,,
180,Windpark Gnannenweiler,2020-2021,,,Enercon E-53 (1×),,,48.6894,9.9928,,,,,,,,,
181,Windpark Gnannenweiler,,,,Enercon E-138 EP3 E2 (2×),,,48.6894,9.9928,,,,,,,,,
182,Windpark Gerichtstetten,2018,23.8,6,Enercon E-141 EP4 (4×),Gerichtstetten,MOS,49.5186,9.51,,Bürger-Windparks,,,,,,,
183,Windpark Gerichtstetten,2021,,,Enercon E-138 EP3 (2×),,,49.5186,9.51,,,,,,,,,
184,Windpark Gerabronn,1998,2.2,3,DeWind D4 48/600 (1×),Gerabronn,SHA,49.2644,9.9397,"BadenWind, LB-Converter, Steck Energie",,,,,,,,
185,Windpark Gerabronn,2002,,,Nordex N50/800 (1×),,,49.2644,9.9397,,,,,,,,,
186,Windpark Gerabronn,2005,,,Enercon E-48 (1×),,,49.2644,9.9397,,,,,,,,,
